time,event,Freq
2017-04-05 04:52:23,ldap,61
2017-04-05 04:52:26,ldap,61
2017-04-05 04:52:29,ldap,61
2017-04-05 04:52:31,ldap,61
2017-04-05 04:52:33,ldap,36
2017-04-05 04:52:34,ldap,25
2017-04-05 04:52:36,ldap,61
2017-04-05 04:52:40,ldap,61
2017-04-05 04:52:46,ldap,61
2017-04-05 04:52:48,ldap,61
2017-04-05 04:52:53,ldap,356
2017-04-05 04:52:54,ldap,29
2017-04-05 04:53:03,ldap,361
2017-04-05 04:53:04,ldap,390
2017-04-05 04:53:11,Fire,1
2017-04-05 04:53:11,httpdacc,1
2017-04-05 04:53:17,access,1
2017-04-05 04:53:46,ldap,330
2017-04-05 04:54:24,ldap,122
2017-04-05 04:54:26,access,1
2017-04-05 04:54:32,Fire,1
2017-04-05 04:54:58,ldap,122
2017-04-05 04:57:16,Fire,2
2017-04-05 04:57:22,access,2
2017-04-05 04:57:48,ldap,61
2017-04-05 04:57:51,ldap,61
2017-04-05 04:57:52,ldap,183
2017-04-05 04:58:05,ldap,104
2017-04-05 04:58:06,ldap,201
2017-04-05 04:58:11,httpdacc,1
2017-04-05 04:58:13,ldap,61
2017-04-05 04:58:14,ldap,80
2017-04-05 04:58:19,ldap,61
2017-04-05 04:58:20,ldap,244
2017-04-05 04:58:26,ldap,61
2017-04-05 04:58:42,ldap,61
2017-04-05 04:58:45,ldap,61
2017-04-05 04:58:46,ldap,263
2017-04-05 04:58:54,ldap,61
2017-04-05 04:59:00,ldap,61
2017-04-05 04:59:07,ldap,223
2017-04-05 04:59:08,ldap,406
2017-04-05 04:59:37,ldap,61
2017-04-05 04:59:40,ldap,488
2017-04-05 04:59:46,ldap,202
2017-04-05 05:00:00,alfresco,8
2017-04-05 05:00:01,alfresco,1
2017-04-05 05:00:02,alfresco,4
2017-04-05 05:00:09,ldap,244
2017-04-05 05:00:10,ldap,61
2017-04-05 05:00:16,ldap,28
2017-04-05 05:00:17,ldap,236
2017-04-05 05:00:18,ldap,182
2017-04-05 05:01:07,ldap,183
2017-04-05 05:01:14,ldap,61
2017-04-05 05:01:22,ldap,61
2017-04-05 05:01:30,ldap,61
2017-04-05 05:01:31,ldap,366
2017-04-05 05:01:32,ldap,19
2017-04-05 05:01:39,ldap,122
2017-04-05 05:01:40,ldap,61
2017-04-05 05:01:47,ldap,61
2017-04-05 05:01:48,ldap,122
2017-04-05 05:01:56,ldap,183
2017-04-05 05:02:02,ldap,61
2017-04-05 05:02:05,ldap,61
2017-04-05 05:02:06,ldap,80
2017-04-05 05:02:26,ldap,122
2017-04-05 05:02:27,ldap,427
2017-04-05 05:02:33,ldap,61
2017-04-05 05:02:34,ldap,141
2017-04-05 05:02:59,ldap,61
2017-04-05 05:03:05,ldap,169
2017-04-05 05:03:06,ldap,136
2017-04-05 05:03:11,httpdacc,1
